,n,g
0,北京,"116.395645,39.929986|12"
1,上海,"121.487899,31.249162|12"
2,天津,"117.210813,39.14393|12"
3,重庆,"106.530635,29.544606|12"
4,安徽,"117.216005,31.859252|8"
5,合肥,"117.282699,31.866942|12"
6,安庆,"117.058739,30.537898|13"
7,蚌埠,"117.35708,32.929499|13"
8,亳州,"115.787928,33.871211|13"
9,巢湖,"117.88049,31.608733|13"
10,池州,"117.494477,30.660019|14"
11,滁州,"118.32457,32.317351|13"
12,阜阳,"115.820932,32.901211|13"
13,淮北,"116.791447,33.960023|13"
14,淮南,"117.018639,32.642812|13"
15,黄山,"118.29357,29.734435|13"
16,六安,"116.505253,31.755558|13"
17,马鞍山,"118.515882,31.688528|13"
18,宿州,"116.988692,33.636772|13"
19,铜陵,"117.819429,30.94093|14"
20,芜湖,"118.384108,31.36602|12"
21,宣城,"118.752096,30.951642|13"
22,福建,"117.984943,26.050118|8"
23,福州,"119.330221,26.047125|12"
24,龙岩,"117.017997,25.078685|13"
25,南平,"118.181883,26.643626|13"
26,宁德,"119.542082,26.656527|14"
27,莆田,"119.077731,25.44845|13"
28,泉州,"118.600362,24.901652|12"
29,三明,"117.642194,26.270835|14"
30,厦门,"118.103886,24.489231|12"
31,漳州,"117.676205,24.517065|12"
32,甘肃,"102.457625,38.103267|6"
33,兰州,"103.823305,36.064226|12"
34,白银,"104.171241,36.546682|13"
35,定西,"104.626638,35.586056|13"
36,甘南州,"102.917442,34.992211|14"
37,嘉峪关,"98.281635,39.802397|13"
38,金昌,"102.208126,38.516072|13"
39,酒泉,"98.508415,39.741474|13"
40,临夏州,"103.215249,35.598514|13"
41,陇南,"104.934573,33.39448|14"
42,平凉,"106.688911,35.55011|13"
43,庆阳,"107.644227,35.726801|13"
44,天水,"105.736932,34.584319|13"
45,武威,"102.640147,37.933172|13"
46,张掖,"100.459892,38.93932|13"
47,广东,"113.394818,23.408004|8"
48,广州,"113.30765,23.120049|12"
49,潮州,"116.630076,23.661812|13"
50,东莞,"113.763434,23.043024|12"
51,佛山,"113.134026,23.035095|13"
52,河源,"114.713721,23.757251|12"
53,惠州,"114.410658,23.11354|12"
54,江门,"113.078125,22.575117|13"
55,揭阳,"116.379501,23.547999|13"
56,茂名,"110.931245,21.668226|13"
57,梅州,"116.126403,24.304571|13"
