,name,pinyin
0,北京,beijing
2,北京,dongcheng
3,北京,xicheng
4,北京,chaoyang
5,北京,fengtai
6,北京,shijingshan
7,北京,haidian
8,北京,mentougou
9,北京,fangshan
10,北京,tongzhou
11,北京,shunyi
12,北京,changping
13,北京,daxing
14,北京,huairou
15,北京,pinggu
16,北京,miyun
17,北京,yanqing
18,天津,tianjin
20,和平,heping
21,河东,hedong
22,河西,hexi
23,南开,nankai
24,河北,hebei
25,红桥,hongqiao
26,东丽,dongli
27,西青,xiqing
28,津南,jinnan
29,北辰,beichen
30,武清,wuqing
31,宝坻,baodi
32,滨海新区,binhaixinqu
33,宁河,ninghe
34,静海,jinghai
35,蓟州,jizhou
37,石家庄,shijiazhuang
38,长安,changan
39,桥西,qiaoxi
40,新华,xinhua
41,井陉矿区,jingxingkuangqu
42,裕华,yuhua
43,藁城,gaocheng
44,鹿泉,luquan
45,栾城,luancheng
46,井陉,jingxing
47,正定,zhengding
48,行唐,xingtang
49,灵寿,lingshou
50,高邑,gaoyi
51,深泽,shenze
52,赞皇,zanhuang
53,无极,wuji
54,平山,pingshan
55,元氏,yuanshi
56,赵县,zhaoxian
57,辛集,xinji
58,晋州,jinzhou
59,新乐,xinle
60,唐山,tangshan
61,路南,lunan
62,路北,lubei
63,古冶,guye
64,开平,kaiping
65,丰南,fengnan
66,丰润,fengrun
67,曹妃甸,caofeidian
68,滦南,luannan
69,乐亭,laoting
70,迁西,qianxi
71,玉田,yutian
72,遵化,zunhua
73,迁安,qianan
74,滦州,luanzhou
75,秦皇岛,qinhuangdao
76,海港,haigang
77,山海关,shanhaiguan
78,北戴河,beidaihe
79,抚宁,funing
80,青龙,qinglong
81,昌黎,changli
82,卢龙,lulong
83,邯郸,handan
84,邯山,hanshan
85,丛台,congtai
86,复兴,fuxing
87,峰峰矿区,fengfengkuangqu
88,肥乡,feixiang
89,永年,yongnian
90,临漳,linzhang
91,成安,chengan
92,大名,daming
93,涉县,shexian
94,磁县,cixian
95,邱县,qiuxian
96,鸡泽,jize
97,广平,guangping
98,馆陶,guantao
99,魏县,weixian
100,曲周,quzhou
101,武安,wuan
102,邢台,xingtai
103,襄都,xiangdu
104,信都,xindu
105,任泽,renze
106,南和,nanhe
107,临城,lincheng
108,内丘,neiqiu
109,柏乡,baixiang
110,隆尧,longyao
111,宁晋,ningjin
112,巨鹿,julu
113,新河,xinhe
114,广宗,guangzong
115,平乡,pingxiang
116,威县,weixian
117,清河,qinghe
118,临西,linxi
119,南宫,nangong
120,沙河,shahe
121,保定,baoding
122,竞秀,jingxiu
123,莲池,lianchi
124,满城,mancheng
125,清苑,qingyuan
126,徐水,xushui
127,涞水,laishui
128,阜平,fuping
129,定兴,dingxing
130,唐县,tangxian
131,高阳,gaoyang
132,容城,rongcheng
133,涞源,laiyuan
134,望都,wangdu
135,安新,anxin
136,易县,yixian
137,曲阳,quyang
138,蠡县,lixian
139,顺平,shunping
140,博野,boye
141,雄县,xiongxian
142,涿州,zhuozhou
143,定州,dingzhou
144,安国,anguo
145,高碑店,gaobeidian
146,张家口,zhangjiakou
147,桥东,qiaodong
149,宣化,xuanhua
150,下花园,xiahuayuan
151,万全,wanquan
152,崇礼,chongli
153,张北,zhangbei
154,康保,kangbao
155,沽源,guyuan
156,尚义,shangyi
157,蔚县,yuxian
158,阳原,yangyuan
159,怀安,huaian
160,怀来,huailai
161,涿鹿,zhuolu
162,赤城,chicheng
163,承德,chengde
164,双桥,shuangqiao
165,双滦,shuangluan
166,鹰手营子矿区,yingshouyingzikuangqu
167,承德县,chengdexian
168,兴隆,xinglong
169,滦平,luanping
170,隆化,longhua
171,丰宁,fengning
172,宽城,kuancheng
173,围场,weichang
174,平泉,pingquan
175,沧州,cangzhou
177,运河,yunhe
178,沧县,cangxian
179,青县,qingxian
180,东光,dongguang
181,海兴,haixing
182,盐山,yanshan
183,肃宁,suning
184,南皮,nanpi
185,吴桥,wuqiao
186,献县,xianxian
187,孟村,mengcun
188,泊头,botou
189,任丘,renqiu
190,黄骅,huanghua
191,河间,hejian
192,廊坊,langfang
193,安次,anci
194,广阳,guangyang
195,固安,guan
196,永清,yongqing
197,香河,xianghe
198,大城,dacheng
199,文安,wenan
200,大厂,dachang
201,霸州,bazhou
202,三河,sanhe
203,衡水,hengshui
204,桃城,taocheng
205,冀州,jizhou
206,枣强,zaoqiang
207,武邑,wuyi
208,武强,wuqiang
209,饶阳,raoyang
210,安平,anping
211,故城,gucheng
212,景县,jingxian
213,阜城,fucheng
214,深州,shenzhou
215,山西,shanxi
216,太原,taiyuan
217,小店,xiaodian
218,迎泽,yingze
219,杏花岭,xinghualing
