brick_HWS_Medium_Temperature_Hot_Water_Differential_Pressure_Sensor,HWS Medium Temperature Hot Water Differential Pressure Sensor
brick_Discharge_Water_Temperature_Setpoint,Discharge Water Temperature Setpoint
brick_HWS_Hot_Water_Differential_Pressure_Proportional_Band_Setpoint,HWS Hot Water Differential Pressure Proportional Band Setpoint
brick_AHU_Exhaust_Fan_Air_Flow_Setpoint,AHU Exhaust Fan Air Flow Setpoint
brick_Dewpoint,Dewpoint
brick_Medium_Temperature_Hot_Water_Supply_Temperature_Load_Shed_Status,Medium Temperature Hot Water Discharge Temperature Load Shed Status
brick_Speed_Reset,Speed Reset
brick_CRAC_Unit_Failed_Alarm,CRAC Unit Failed Alarm
brick_DemandResponse_Zone_Standby_Load_Shed_Command,DemandResponse Zone Standby Load Shed Command
brick_Weather,Weather
brick_Load_Current,Load Current
brick_DemandResponse_Medium_Temperature_Hot_Water_Supply_Temperature_Load_Shed_Status,DemandResponse Medium Temperature Hot Water Supply Temperature Load Shed Status
brick_Fault_Indicator,Fault Indicator
brick_Supply_Fan_Air_Flow,Supply Fan Air Flow
brick_VAV_Heating_Demand_Setpoint,VAV Heating Demand Setpoint
brick_Air_Flow,Air Flow
brick_FCU_Return_Fan_VFD_Speed_Status,FCU Return Fan VFD Speed Status
btag_Fresh,Fresh
brick_Average_Supply_Air_Flow,Average Supply Air Flow
brick_AHU_Exhaust_Fan_Fire_Control_Panel_On_Command,AHU Exhaust Fan Fire Control Panel On Command
brick_Dead_Band_Setpoint,Dead Band Setpoint
brick_FCU_Supply_Fan_VFD_Speed_Command,FCU Supply Fan VFD Speed Command
brick_FCU_Return_Fan_VFD_Speed_Command,FCU Return Fan VFD Speed Command
brick_Outside_Air_Damper,Outside Air Damper
brick_AHU_Supply_Air_Static_Pressure_Integral_Time_Setpoint,AHU Supply Air Static Pressure Integral Time Setpoint
brick_Cooling_Valve_Command,Cooling Valve Command
brick_Condensor_Temperature,Condensor Temperature
brick_VAV_Cooling_Request_Setpoint,VAV Cooling Demand Setpoint
brick_Air_Dewpoint,Air Dewpoint
brick_Disable_Hot_Water_System_Outside_Air_Temperature_Setpoint,Disable Hot Water System Outside Air Temperature Setpoint
brick_HWS_Shutdown_Hot_Water_When_Unoccupied_Command,HWS Shutdown Hot Water When Unoccupied Command
brick_Occupied_Cooling_Max_Discharge_Air_Flow_Setpoint,Occupied Cooling Max Supply Air Flow Setpoint
brick_Air_Flow_Loss_Alarm,Air Flow Loss Alarm
brick_High_Temperature_Hot_Water_Return_Temperature,High Temperature Hot Water Return Temperature
brick_VAV_Cooling_Max_Discharge_Air_Flow_Setpoint,VAV Cooling Max Supply Air Flow Setpoint
brick_VFD_Run_Status,VFD Run Status
brick_AHU_Heating_Request_Percent_Setpoint,AHU Heating Request Percent Setpoint
brick_Direction,Direction
brick_Chilled_Valve_Pressure,Chilled Valve Pressure
brick_Cooling_Max_Supply_Air_Flow_Setpoint,Cooling Max Discharge Air Flow Setpoint
brick_Supply_Air_Temperature_High_Limit,Supply Air Temperature High Limit
brick_Supply_Water_Temperature_Integral_Time_Setpoint,Supply Water Temperature Integral Time Setpoint
brick_Steam_System_Steam_Usage_Today_Meter,Steam_System Steam Usage Today Meter
brick_Hot_Water_Differential_Pressure,Hot Water Differential Pressure
brick_MeasurementProperty,MeasurementProperty
brick_Heating_Min_Discharge_Air_Flow_Setpoint,Heating Min Supply Air Flow Setpoint
brick_PV_Current_Output_Sensor,Photovoltaic Current Output Sensor
brick_Domestic_Hot_Water_Discharge_Temperature_Setpoint,Domestic Hot Water Supply Temperature Setpoint
brick_VAV_Discharge_Air_Flow_Setpoint,VAV Discharge Air Flow Setpoint
brick_VFD_Manual_Auto_Status,VFD Hand Auto Status
brick_EconCycle_On_Off_Status,EconCycle On Off Status
brick_Humidity,Humidity
brick_Supply_Air_Smoke_Detected_Alarm,Discharge Air Smoke Detected Alarm
brick_Water_System_Valve_Command,Water_System Valve Command
brick_Water_System_Perimeter_Heating_Valve_Command,Water_System Perimeter Heating Valve Command
brick_CWS,Chilled Water System
brick_AHU_Outside_Air_Enthalpy_Sensor,AHU Outside Air Enthalpy Sensor
brick_AHU_Min_Supply_Air_Temperature_Setpoint,AHU Min Supply Air Temperature Setpoint
brick_VAV_Supply_Air_Velocity_Pressure_Sensor,VAV Supply Air Velocity Pressure Sensor
brick_Direction_Sensor,Direction Sensor
brick_AHU_Return_Air_Grains_Sensor,AHU Return Air Grains Sensor
brick_Differential_Pressure_Proportional_Band_Setpoint,Differential Pressure Proportional Band Setpoint
brick_VAV_Zone_Temperature_Sensor,VAV Zone Temperature Sensor
brick_CRAC_On_Off_Status,CRAC Start Stop Status
brick_Supply_Air_Temperature_Heating,Supply Air Temperature Heating
brick_VFD_Load_Current_Sensor,VFD Load Current Sensor
brick_Medium_Temperature_Hot_Water_Discharge_Temperature_Low_Reset_Setpoint,Medium Temperature Hot Water Discharge Temperature Low Reset Setpoint
brick_Emergency_Power_Off_Activated_By_High_Temperature,Emergency Power Off Activated By High Temperature
brick_Cooling_Min_Supply_Air_Flow_Setpoint,Cooling Min Discharge Air Flow Setpoint
brick_VFD_Output_Frequency_Sensor,VFD Output Frequency Sensor
brick_Average_Discharge_Air_Flow_Sensor,Average Discharge Air Flow Sensor
btag_Ventilation,Ventilation
brick_Unoccupied_Heating_Temperature,Unoccupied Heating Temperature
brick_Discharge_Air_Static_Pressure_Proportional_Band_Setpoint,Supply Air Static Pressure Proportional Band Setpoint
brick_Water_System_DI_Water_Alarm,Water_System Deionised Water Alarm
brick_VAV_Discharge_Air_Temperature_Sensor,VAV Supply Air Temperature Sensor
brick_Heating_Supply_Air_Temperature_Proportional_Band_Setpoint,Heating Supply Air Temperature Proportional Band Setpoint
brick_Steam_System_Yearly_Steam_Usage_Meter,Steam_System Yearly Steam Usage Meter
btag_Month,Month
brick_Liquid_Detected_Alarm,Liquid Detected Alarm
brick_AHU_Discharge_Air_Flow_Demand_Setpoint,AHU Discharge Air Flow Demand Setpoint
brick_Torque,Torque
brick_Economizer_Differential_Air_Temperature,Economizer Differential Air Temperature
brick_Supply_Water_Differential_Pressure_Dead_Band_Setpoint,Supply Water Differential Pressure Dead Band Setpoint
btag_Fume,Fume
brick_Min_Discharge_Air_Static_Pressure_Setpoint,Min Discharge Air Static Pressure Setpoint
brick_Inverter,Inverter
brick_Cooling_Coil_Supply_Air_Temperature_Sensor,Cooling Coil Supply Air Temperature Sensor
btag_Weather,Weather
brick_AHU_Preheat_Supply_Air_Temperature_Sensor,AHU Preheat Supply Air Temperature Sensor
brick_Fume_Hood,Fume Hood
brick_Deionised_Water_Alarm,DI Water Alarm
brick_Curtailment_Override_Command,Curtailment Override Command
brick_Exhaust_Fan_Overridden_Off,Exhaust Fan Overridden Off
brick_VFD_Current_Limit_Setpoint,VFD Current Limit Setpoint
btag_Tower,Tower
brick_Economizer_Supply_Air_Temperature_Proportional_Band,Economizer Supply Air Temperature Proportional Band
brick_Cooling_Coil_Discharge_Air_Temperature,Cooling Coil Discharge Air Temperature
brick_Communication_Loss,Communication Loss
brick_Deionised_Water,Deionised Water
brick_VFD_Run_Direction_Command,VFD Run Direction Command
brick_Damper_Command,Damper Command
brick_AHU_Differential_Pressure_Sensor,AHU Differential Pressure Sensor
brick_Solar_Zenith_Angle,Solar Zenith Angle
brick_Economizer_Enthalpy_Setpoint,Economizer Enthalpy Setpoint
btag_Hail,Hail
brick_HVAC,Heating Ventilation Air Conditioning System
brick_AHU_Lowest_Exhaust_Air_Static_Pressure_Sensor,AHU Lowest Exhaust Air Static Pressure Sensor
brick_HWS_Hot_Water_Differential_Pressure_Integral_Time_Setpoint,HWS Hot Water Differential Pressure Integral Time Setpoint
brick_Temporary_Occupancy_Status,Temporary Occupancy Status
btag_VAV,VAV
brick_Warm_Cool_Adjust,Warm Cool Adjust
btag_Entering,Entering
brick_VFD_Speed_Command,VFD Speed Command
brick_Heating_Temperature,Heating Temperature
brick_AHU_Current_Cooling_Setpoint,AHU Current Cooling Setpoint
brick_Preheat_Demand,Preheat Demand
brick_Hot_Water_Return_Temperature_Sensor,Hot Water Return Temperature Sensor
brick_AHU_Economizer_Discharge_Air_Temperature_Proportional_Band_Setpoint,AHU Economizer Discharge Air Temperature Proportional Band Setpoint
brick_AHU_Automatic_Mode_Command,AHU Automatic Mode Command
brick_Medium_Temperature_Hot_Water_Discharge_Temperature_Load_Shed,Medium Temperature Hot Water Discharge Temperature Load Shed
brick_Fans_Stage_Command,Fans Stage Command
btag_Chiller,Chiller
brick_Medium_Temperature_Hot_Water_Discharge_Temperature_Sensor,Medium Temperature Hot Water Supply Temperature Sensor
brick_Chilled_Water_Differential_Pressure_Dead_Band,Chilled Water Differential Pressure Dead Band
brick_FCU_Chilled_Valve_Pressure_Sensor,FCU Chilled Valve Pressure Sensor
brick_Thermal_Energy_Storage_Discharge_Water_Differential_Pressure_Integral_Time_Setpoint,Thermal Energy Storage Discharge Water Differential Pressure Integral Time Setpoint
brick_Heat_Exchanger_Start_Stop_Command,Heat Exchanger Start Stop Command
brick_Water_System_Discharge_Water_Temperature_Setpoint,Water_System Supply Water Temperature Setpoint
brick_DemandResponse_Load_Shed_Command,DemandResponse Load Shed Command
brick_Supply_Air_Velocity_Pressure,Supply Air Velocity Pressure
brick_Water_Level_Sensor,Water Level Sensor
brick_Supply_Fan_Start_Stop,Supply Fan Start Stop
btag_Terminal,Terminal
brick_AHU_Economizer_Supply_Air_Temperature_Proportional_Band_Setpoint,AHU Economizer Supply Air Temperature Proportional Band Setpoint
brick_Max_Chilled_Water_Differential_Pressure_Setpoint,Max Chilled Water Differential Pressure Setpoint
brick_Discharge_Air_Temperature_Reset_Differential,Discharge Air Temperature Reset Differential
btag_Stop,Stop
