交易ID,供应商,采购商,所属项目,产品ID,产品型号,类别,全名,产品名,使用区域,使用方式,单位,数量,损耗率,综合单价,总价,品牌
JX00301,中山某某有限公司,住建集采,湖南某项目,KC00001,,开关,单联单控开关,,水电安装,,个,4.0,0.0,60.16933766202373,240.67735064809492,西门子
JX00302,中山某某有限公司,住建集采,湖南某项目,KC00002,,开关,双联单控开关,,水电安装,,个,3.0,0.0,66.64441003400499,199.933230102015,西门子
JX00303,中山某某有限公司,住建集采,湖南某项目,KC00003,,开关,三联单控开关,,水电安装,,个,1.0,0.0,97.14745230325413,97.14745230325413,西门子
JX00304,中山某某有限公司,住建集采,湖南某项目,KC00004,,开关,单联双控开关,,水电安装,,个,4.0,0.0,77.57625666601383,310.30502666405533,西门子
JX00305,中山某某有限公司,住建集采,湖南某项目,KC00005,,开关,双联双控开关,,水电安装,,个,2.0,0.0,99.12188738777802,198.24377477555603,西门子
JX00306,中山某某有限公司,住建集采,湖南某项目,KC00006,,插座,五孔插座,,水电安装,,个,13.0,0.0,67.02085870166287,871.2711631216174,西门子
JX00307,中山某某有限公司,住建集采,湖南某项目,KC00007,,插座,空调、热水器插座,,水电安装,,个,2.0,0.0,80.32425695710707,160.64851391421413,西门子
JX00308,中山某某有限公司,住建集采,湖南某项目,KC00008,,插座,防溅插座,,水电安装,,个,8.0,0.0,101.58665903627413,812.693272290193,西门子
JX00309,中山某某有限公司,住建集采,湖南某项目,KC00009,,插座,网络插座,,水电安装,,个,2.0,0.0,220.16409322505953,440.32818645011906,西门子
JX00310,中山某某有限公司,住建集采,湖南某项目,KC00010,,插座,电话插座,,水电安装,,个,1.0,0.0,133.68761021622592,133.68761021622592,西门子
JX00311,中山某某有限公司,住建集采,湖南某项目,KC00011,,插座,电视插座,,水电安装,,个,2.0,0.0,80.68880571658586,161.37761143317172,西门子
JX00312,中山某某有限公司,住建集采,湖南某项目,KC00012,,插座,USB插座,,水电安装,,个,1.0,0.0,301.75469695452847,301.75469695452847,西门子
JX00313,佛山某某有限公司,住建集采,湖北某项目,KC00001,,开关,单联单控开关,,水电安装,,个,1.0,0.01,132.51477343217923,133.83992116650103,西门子
JX00314,佛山某某有限公司,住建集采,湖北某项目,KC00002,,开关,家政阳台,,水电安装,,个,3.0,0.01,22.62521862154006,68.55441242326638,西门子
JX00315,佛山某某有限公司,住建集采,湖北某项目,KC00003,,开关,三联单控开关,,水电安装,,个,2.0,0.01,25.035384386380603,50.57147646048882,西门子
JX00316,佛山某某有限公司,住建集采,湖北某项目,KC00004,,开关,单联双控开关,,水电安装,,个,1.0,0.01,30.836338251045703,31.14470163355616,西门子
JX00317,佛山某某有限公司,住建集采,湖北某项目,KC00005,,开关,双联双控开关,,水电安装,,个,4.0,0.01,44.91726294853067,181.4657423120639,西门子
JX00318,佛山某某有限公司,住建集采,湖北某项目,KC00006,,插座,五孔插座,,水电安装,,个,1.0,0.01,57.7052501718515,58.282302673570015,西门子
JX00319,佛山某某有限公司,住建集采,湖北某项目,KC00007,,插座,空调、热水器插座,,水电安装,,个,24.0,0.01,35.85319583913889,869.0814671407268,西门子
JX00320,佛山某某有限公司,住建集采,湖北某项目,KC00008,,插座,防溅插座,,水电安装,,个,4.0,0.01,76.24377586407432,308.02485449086026,西门子
JX00321,佛山某某有限公司,住建集采,湖北某项目,KC00009,,插座,网络插座,,水电安装,,个,3.0,0.01,42.337838209812894,128.28364977573307,西门子
JX00322,佛山某某有限公司,住建集采,湖北某项目,KC00010,,插座,电话插座,,水电安装,,个,1.0,0.01,157.76024672604473,159.33784919330517,西门子
JX00323,佛山某某有限公司,住建集采,湖北某项目,KC00011,,插座,电视插座,,水电安装,,个,3.0,0.01,47.44328449995551,143.7531520348652,西门子
JX00324,佛山某某有限公司,住建集采,湖北某项目,KC00012,,插座,USB插座,,水电安装,,个,1.0,0.01,48.34491699300697,48.82836616293704,西门子
JX00325,佛山某某有限公司,住建集采,湖北某项目,KC00013,,插座,电视电脑接口,,水电安装,,个,1.0,0.01,147.58814096842582,149.06402237811008,西门子
JX00326,佛山某某有限公司,住建集采,湖北某项目,KC00014,,插座,电话网络插座,,水电安装,,个,2.0,0.01,81.00564834624578,163.63140965941648,西门子
JX00327,苏州某某有限公司,住建集采,海南某项目,KC00001,,开关,单联单控开关,,水电安装,,个,4.0,0.0,28.01,112.04,西门子
JX00328,苏州某某有限公司,住建集采,海南某项目,KC00002,,开关,双联单控开关,,水电安装,,个,2.0,0.0,31.74,63.48,西门子
JX00329,苏州某某有限公司,住建集采,海南某项目,KC00003,,开关,三联单控开关,,水电安装,,个,4.0,0.0,32.89,131.56,西门子
JX00330,苏州某某有限公司,住建集采,海南某项目,KC00004,,开关,单联双控开关,,水电安装,,个,2.0,0.0,52.95,105.9,西门子
JX00331,苏州某某有限公司,住建集采,海南某项目,KC00005,,开关,双联双控开关,,水电安装,,个,3.0,0.0,44.85,134.55,西门子
JX00332,苏州某某有限公司,住建集采,海南某项目,KC00006,,插座,五孔插座,,水电安装,,个,3.0,0.0,83.55,250.65,西门子
JX00333,苏州某某有限公司,住建集采,海南某项目,KC00007,,插座,空调、热水器插座,,水电安装,,个,4.0,0.0,123.71,494.84,西门子
JX00334,苏州某某有限公司,住建集采,海南某项目,KC00008,,插座,防溅插座,,水电安装,,个,9.0,0.0,28.85,259.65,西门子
JX00335,苏州某某有限公司,住建集采,海南某项目,KC00009,,插座,网络插座,,水电安装,,个,0.0,0.0,206.42,0.0,西门子
JX00336,苏州某某有限公司,住建集采,海南某项目,KC00010,,插座,电话插座,,水电安装,,个,0.0,0.0,54.25,0.0,西门子
JX00337,苏州某某有限公司,住建集采,海南某项目,KC00011,,插座,电视插座,,水电安装,,个,0.0,0.0,147.11,0.0,西门子
JX00338,苏州某某有限公司,住建集采,海南某项目,KC00012,,插座,USB插座,,水电安装,,个,1.0,0.0,115.57,115.57,西门子
