交易ID,供应商,采购商,所属项目,产品ID,产品型号,类别,全名,产品名,使用区域,使用方式,单位,数量,损耗率,综合单价,总价,品牌
JX00001,苏州某某有限公司,住建集采,湖南某项目,TJ00001,XX-04,,,木饰面踢脚线,客餐厅,,m,22.43,0.0,23.244115371671906,521.3655077866008,菲林格尔
JX00002,苏州某某有限公司,住建集采,湖南某项目,TJ00001,XX-04,,,木饰面踢脚线,主卧,,m,12.2,0.0,23.244115371671906,283.5782075343972,菲林格尔
JX00003,苏州某某有限公司,住建集采,湖南某项目,TJ00001,XX-04,,,木饰面踢脚线,次卧,,m,9.4,0.0,23.244115371671906,218.49468449371594,菲林格尔
JX00004,苏州某某有限公司,住建集采,湖北某项目,TJ00002,,,,实木复合踢脚线,客餐厅,,m,23.2,0.05,72.27042342910494,1760.5075147329962,菲林格尔
JX00005,苏州某某有限公司,住建集采,湖北某项目,TJ00002,,,,实木复合踢脚线,卧室,,m,28.36,0.05,77.58190188291209,2310.2338742693564,菲林格尔
JX00006,苏州某某有限公司,住建集采,湖北某项目,TJ00003,,,,瓷砖踢脚线,阳台,,m,8.0,0.08,29.750236853093355,257.0420464107266,亚细亚
JX00007,中山某某有限公司,住建集采,海南某项目,TJ00004,,,,深色仿木纹踢脚线,客餐厅,,m,31.43,0.05,58.78,969.9140850000001,东鹏
JX00008,中山某某有限公司,住建集采,海南某项目,TJ00004,,,,深色仿木纹踢脚线,厨房间,,m,31.43,0.05,58.78,969.9140850000001,东鹏
JX00009,中山某某有限公司,住建集采,海南某项目,TJ00005,,,,深色仿木纹踢脚线,主卧室,,m,10.3,0.05,76.77,415.133775,东鹏
JX00010,中山某某有限公司,住建集采,海南某项目,TJ00006,,,,深色仿木纹踢脚线,次卧,,m,9.7,0.05,53.65,273.212625,东鹏
JX00011,中山某某有限公司,住建集采,海南某项目,TJ00006,,,,深色仿木纹踢脚线,阳台,,m,9.7,0.05,53.65,273.212625,东鹏
JX00012,中山某某有限公司,住建集采,海南某项目,TJ00007,,,,深色仿木纹踢脚线,家政阳台,,m,7.1,0.05,60.53,225.625575,东鹏
JX00013,中山某某有限公司,住建集采,海南某项目,TJ00007,,,,深色仿木纹踢脚线,阳台2,,m,7.1,0.05,60.53,225.625575,东鹏
JX00014,中山某某有限公司,住建集采,海南某项目,TJ00008,,,,家政阳台瓷砖踢脚线,家政阳台,,m,11.1,0.05,32.16,374.82,东鹏
JX00015,中山某某有限公司,住建集采,海南某项目,TJ00008,,,,家政阳台瓷砖踢脚线,阳台3,,m,11.1,0.05,32.16,374.82,东鹏
